"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"1","A.J. Green","Mil","G","23.5","32","9.5","16.6","7.6","4","1","18","0.5","91","0.429","0.619","0.627","4.3","1.2","0.6","0.2","0","0.3","5.5","4.9","6.1","6.1","122.7","105.7"
"2","A.J. Lawson","Dal","G","22.7","11","5.5","20.6","3.8","3","0.333","9","0.556","16","0.438","0.62","0.608","2.9","0.7","0.1","0.1","0","0.1","3.6","3","3.7","4.3","116.5","107.9"
"3","A.J. Lawson","Min","G","22.7","1","1.8","23.8","0","0","0","1","1","0","0","1","1","2","1","0","0","0","0","3","2","3","0","",""
"4","Aaron Gordon","Den","F","27.5","58","30.1","21.2","11.9","279","0.62","494","0.646","147","0.367","0.624","0.637","16.8","6.7","2.9","0.8","0.7","1.5","23.5","19.7","26.3","9.1","127.2","111.4"
"5","Aaron Holiday","Atl","G","26.5","54","13.6","13.3","13.7","28","0.857","114","0.421","75","0.413","0.5","0.529","3.9","1.2","1.2","0.5","0.2","0.6","5.2","5.2","6.4","5.2","108.8","111.4"
"6","Aaron Nesmith","Ind","G-F","23.4","61","24.8","16.6","10.6","113","0.85","226","0.5","262","0.355","0.517","0.559","9.9","3.8","1.2","0.8","0.4","1","13.7","11.1","14.9","5.7","110.8","107.5"
"7","Aaron Wiggins","Okc","G-F","24.2","58","18.5","14.4","13.6","59","0.814","197","0.558","101","0.376","0.56","0.59","6.6","3.1","1.2","0.5","0.2","0.8","9.6","7.8","10.9","6.3","117.2","110.1"
"8","Admiral Schofield","Orl","F","26","31","11.9","12.8","5.9","19","0.895","38","0.684","57","0.351","0.589","0.624","4.2","1.7","0.8","0.2","0.1","0.2","5.8","5","6.6","6","134.3","104.1"
"9","AJ Griffin","Atl","F","19.6","62","19.4","17.8","7.1","38","0.895","231","0.55","226","0.381","0.56","0.576","8.8","2","1","0.6","0.1","0.6","10.8","9.8","11.8","5.4","114.8","114.3"
"10","Al Horford","Bos","C-F","36.8","56","31","11.7","6.8","21","0.714","144","0.542","278","0.457","0.636","0.64","9.9","6.2","3","0.5","0.9","0.6","16","12.8","19","7.3","135.2","108.9"
"11","Alec Burks","Det","G","31.7","51","22","22.6","11.2","188","0.814","220","0.459","239","0.414","0.544","0.602","12.8","3.1","2.2","0.7","0.2","1.1","15.9","15","18.1","8.1","119.8","112.3"
"12","Aleksej Pokusevski","Okc","C","21.2","31","21.9","18.4","14.4","33","0.636","142","0.486","101","0.376","0.519","0.53","8.8","5.1","2","0.6","1.3","1.3","13.9","10.8","15.9","8.2","107.1","108"
"13","Alex Caruso","Chi","G","29","58","24.3","11.1","22.4","69","0.812","122","0.533","131","0.359","0.536","0.577","5.6","3.1","3.1","1.6","0.6","1.3","8.7","8.7","11.7","6.2","113","104"
"14","Alex Len","Sac","C","29.8","17","3.1","15.9","38.2","4","0.75","10","0.5","1","0","0.455","0.509","0.8","0.9","0.3","0","0","0.4","1.7","1.1","2","7.7","",""
"15","Alize Johnson","San","F","26.9","4","7.4","15.3","39.1","2","0.5","4","0.75","2","0","0.5","0.509","1.8","2.5","0.3","0.3","0","1","4.3","2","4.5","6","74","108.6"
"16","Alondes Williams","Bro","G","23.7","1","5.3","16.8","100","0","0","0","0","0","0","","","0","1","0","0","0","2","1","0","1","0","","97.8"
"17","Alperen Sengun","Hou","C","20.6","64","28.5","21.5","19.2","243","0.733","632","0.57","45","0.333","0.565","0.601","14.7","8.8","3.8","0.9","0.9","2.5","23.5","18.5","27.3","11.1","117.9","107.4"
"18","Amir Coffey","Lac","G-F","25.8","45","13.2","13.6","11.3","59","0.78","103","0.427","38","0.263","0.418","0.491","3.6","1.2","1.1","0.2","0.1","0.4","4.8","4.8","5.9","5.1","108.9","111.6"
"19","Andre Drummond","Chi","C","29.6","56","12.9","20.9","22.2","102","0.529","229","0.62","2","0","0.615","0.613","6","6.6","0.6","0.7","0.4","1.2","12.6","6.6","13.2","8.9","115","93.1"
"20","Andre Iguodala","Gol","G-F","39.1","8","14.1","9.4","37","3","0.667","6","1","9","0.111","0.5","0.521","2.1","2.1","2.4","0.5","0.4","1.1","4.3","4.5","6.6","6.2","102","108.4"
"21","Andrew Nembhard","Ind","G-F","23.2","63","26.9","15.4","16.5","47","0.787","272","0.493","227","0.339","0.5","0.516","8.5","2.7","4","1","0.2","1.6","11.2","12.5","15.2","6.7","105.2","113.1"
"22","Andrew Wiggins","Gol","F","28.1","37","32.2","21.4","8.3","72","0.611","304","0.53","225","0.396","0.557","0.564","17.1","5","2.3","1.2","0.8","1.3","22.1","19.4","24.4","7.2","112.5","109.7"
"23","Anfernee Simons","Por","G","23.8","61","35","25.2","10.9","176","0.892","475","0.526","555","0.38","0.55","0.582","21.1","2.6","4","0.7","0.2","2.1","23.7","25.2","27.8","6.9","113.8","116.5"
"24","Anthony Davis","Lal","F-C","30","45","33.6","28.9","11.7","350","0.803","710","0.59","68","0.265","0.573","0.629","26.1","12.5","2.6","1","2","2.3","38.6","28.6","41.2","11.3","123.9","104.7"
"25","Anthony Edwards","Min","G","21.6","71","36","29.8","14.6","378","0.767","860","0.515","521","0.37","0.53","0.567","24.7","5.9","4.4","1.6","0.7","3.3","30.6","29.2","35","9.6","106.3","110.1"
"26","Anthony Gill","Was","F","30.4","47","9.9","11.4","10.7","45","0.8","70","0.714","21","0.143","0.599","0.654","3.1","1.5","0.5","0.1","0.2","0.2","4.6","3.6","5","5.4","135.7","108"
"27","Anthony Lamb","Gol","F","25.2","51","20.1","13.9","14.7","45","0.733","96","0.667","176","0.375","0.599","0.615","7","3.5","1.7","0.5","0.3","0.9","10.5","8.8","12.2","6.9","119","107"
"28","Austin Reaves","Lal","G","24.8","53","27.7","15.4","16.5","188","0.851","203","0.626","175","0.383","0.602","0.667","11.6","2.9","2.8","0.6","0.4","1.4","14.5","14.4","17.3","6.6","125.5","112.5"
"29","Austin Rivers","Min","G","30.6","51","19.9","10.5","9.9","39","0.769","86","0.558","123","0.35","0.538","0.564","5","1.6","1.5","0.5","0.1","0.5","6.6","6.5","8.1","4.6","114.4","112"
"30","Ayo Dosunmu","Chi","G","23.2","67","27","14.8","14.9","74","0.811","327","0.584","162","0.315","0.547","0.57","8.9","2.9","2.6","0.7","0.3","1.3","11.8","11.5","14.4","6","110.7","108.1"
"31","Bam Adebayo","Mia","C-F","25.7","66","35.1","25.5","14.4","363","0.804","996","0.548","12","0.083","0.543","0.594","21","9.4","3.2","1.2","0.8","2.6","30.4","24.3","33.7","9.8","115.8","104.6"
"32","Ben Simmons","Bro","G-F","26.7","42","26.3","14.4","29.2","57","0.439","233","0.571","2","0","0.566","0.559","6.9","6.3","6.1","1.3","0.5","2.3","13.2","13","19.3","9.8","111.2","101.6"
"33","Bennedict Mathurin","Ind","G-F","20.7","67","27.8","25.2","12.6","384","0.828","549","0.485","279","0.315","0.481","0.559","16.6","4","1.4","0.6","0.1","1.8","20.6","18","22","6.5","109","115"
"34","Bismack Biyombo","Pho","C","30.6","50","13.4","13.5","23.3","51","0.314","145","0.566","0","0","0.566","0.538","3.6","3.9","0.9","0.3","1.2","0.9","7.5","4.5","8.4","7","101.9","100.7"
"35","Blake Griffin","Bos","F","34","33","14.2","13","12.4","24","0.625","58","0.638","55","0.345","0.58","0.591","4.4","3.7","1.3","0.4","0.2","0.5","8.1","5.7","9.4","7.8","126.9","99.1"
"36","Blake Wesley","San","G","20","25","16.6","18.8","22.8","30","0.6","98","0.327","37","0.405","0.404","0.428","5.1","2.1","2.2","0.6","0.2","1.6","7.2","7.3","9.4","6.9","84","111.5"
"37","Boban Marjanovic","Hou","C","34.6","25","4.7","22.2","15","24","0.75","44","0.705","1","0","0.689","0.72","3.2","1.7","0.2","0.2","0","0.3","4.9","3.4","5.1","8.8","132.9","114.4"
"38","Bobby Portis","Mil","F","28.1","59","26","21.3","9.8","96","0.823","465","0.57","198","0.343","0.554","0.576","13.8","9.6","1.6","0.4","0.2","1.2","23.4","15.4","25","9.2","117.7","104.4"
"39","Bogdan Bogdanovic","Atl","G","30.6","44","28.4","20.1","9.5","62","0.806","217","0.484","297","0.404","0.554","0.573","14.1","3.2","2.9","0.8","0.4","1.2","17.3","17","20.1","7.2","113.9","114.4"
"40","Bojan Bogdanovic","Det","F","33.9","59","32.1","25.8","13.3","303","0.884","529","0.539","353","0.411","0.57","0.627","21.6","3.8","2.6","0.6","0.1","2.3","25.4","24.2","27.9","7.4","117.9","117"
"41","Bol Bol","Orl","C-F","23.3","65","21.8","17.7","19.1","100","0.76","340","0.644","97","0.299","0.601","0.625","9.2","5.9","0.9","0.4","1.3","1.6","15.2","10.2","16.1","6.7","109","109.8"
"42","Bones Hyland","Den","G","22.5","42","19.5","28.5","13.4","82","0.866","193","0.425","241","0.378","0.503","0.54","12.1","2","3","0.7","0.3","1.6","14.1","15.1","17.1","8.6","106.2","110.2"
"43","Bones Hyland","Lac","G","22.5","5","14.2","27.3","7.4","10","0.8","19","0.316","18","0.278","0.365","0.423","7","3.6","1.6","0.6","0","0.6","10.6","8.6","12.2","9.7","99.9","91.3"
"44","Bradley Beal","Was","G","29.7","48","33.5","29.3","14.1","216","0.843","635","0.557","211","0.37","0.557","0.597","23.4","3.9","5.5","0.9","0.7","2.9","27.3","28.9","32.8","9.5","114.7","113.2"
"45","Brandon Boston Jr.","Lac","G","21.3","21","11.7","26.5","9","38","0.763","92","0.424","29","0.414","0.471","0.519","6.8","1.4","0.9","0.4","0","0.6","8.2","7.7","9.1","7","105.9","109.2"
"46","Brandon Clarke","Mem","F","26.5","56","19.5","17.6","13.6","137","0.723","343","0.665","6","0.167","0.658","0.682","10","5.5","1.3","0.6","0.7","1","15.5","11.3","16.8","8.5","130.9","99.9"
"47","Brandon Ingram","Nor","F","25.5","33","33","30.4","15.4","182","0.868","456","0.493","132","0.394","0.515","0.572","23.2","5","4.9","0.7","0.4","3.2","28.1","28","33","10","108.6","108.6"
